,Elementary,Intermediate,Advanced
1952 with,0.009593009567640795,-0.004218312883648916,-0.005374696683991855
1953,-0.05959402271106726,0.042858125083455725,0.01673589762761161
1953 and,0.00478534154789933,0.002038431900526652,-0.006823773448425997
1956,0.009593009567640795,-0.004218312883648916,-0.005374696683991855
1956 he,0.009593009567640795,-0.004218312883648916,-0.005374696683991855
1960,0.016920521269164296,-0.0014015249857205207,-0.015518996283443786
1960 mandela,0.013373274866415262,-0.0006991968163668067,-0.012674078050048445
1960s,-0.02510384348803566,0.022276997592325543,0.002826845895710116
1960s goodfellow,-0.022904800031423398,0.022294751183799776,0.0006100488476236375
1960s james,0.004857176399259433,0.002502949666596093,-0.0073601260658555465
1961,-0.005994256890153501,-0.024412051790532307,0.030406308680685806
1962,0.009593009567640795,-0.004218312883648916,-0.005374696683991855
1962 he,0.009593009567640795,-0.004218312883648916,-0.005374696683991855
1963,0.003271206203706367,0.0007270400410296793,-0.003998246244736056
1964,-0.0290935537745163,0.02314100225561776,0.0059525515188985035
1964 when,0.006010644485520633,-0.0032659351631442405,-0.002744709322376407
1965,0.009593009567640795,-0.004218312883648916,-0.005374696683991855
1965 album,0.009593009567640795,-0.004218312883648916,-0.005374696683991855
1966,0.00822391452588844,0.004237862171080636,-0.01246177669696907
1966 14,0.004857176399259433,0.002502949666596093,-0.0073601260658555465
1967,0.02125347589458355,0.0006013668894003611,-0.02185484278398387
1967 at,0.004857176399259433,0.002502949666596093,-0.0073601260658555465
1967 month,0.004857176399259433,0.002502949666596093,-0.0073601260658555465
1967 was,0.015329126435941715,-0.0035714291109361124,-0.011757697325005588
1969,0.028489068163139012,-0.009667642514937836,-0.018821425648201166
1969 bowie,0.015329126435941715,-0.0035714291109361124,-0.011757697325005588
1969 he,0.009593009567640795,-0.004218312883648916,-0.005374696683991855
197,0.010610815901235464,-0.002905740526283046,-0.007705075374952401
197 million,0.010610815901235464,-0.002905740526283046,-0.007705075374952401
1970,-0.004184026192737097,-0.015618612806717207,0.01980263899945427
1970 and,0.01909589763400164,-0.006166679698849005,-0.012929217935152604
1970 ho,0.00478534154789933,0.002038431900526652,-0.006823773448425997
1970 to,0.0058328924925094405,-0.0032624676251028642,-0.0025704248674065697
1970s,-0.017361739136398806,-0.00839001428625415,0.02575175342265286
1970s bowie,0.015329126435941715,-0.0035714291109361124,-0.011757697325005588
1970s rock,0.005498946822312056,0.0007426805361440791,-0.0062416273584561385
1972,0.015329126435941715,-0.0035714291109361124,-0.011757697325005588
1972 hunky,0.015329126435941715,-0.0035714291109361124,-0.011757697325005588
1973,0.015329126435941715,-0.0035714291109361124,-0.011757697325005588
